"agName","agCode","faoCode","faoKName","value","unit","groupCode"
"아몬드",33301,"0221","아몬드(껍데기를 벗기지 않은 것)",1858010,"t","3"
"사과",11601,"0515","사과",4429330,"t","1"
"살구",11604,"0526","살구",26890,"t","1"
"아티초크",12189,"0366","아티초크",33679,"t","1"
"아스파라거스",12151,"0367","아스파라거스",24285,"t","1"
"애버카도우",11624,"0572","애버카도우",142340,"t","1"
"바나나",11628,"0486","바나나",3517.31,"t","1"
"보리",11102,"0044","보리",3795650,"t","1"
"녹두",11311,"0176","콩(건조)",1172400,"t","1"
"기타납",13399,"1183","밀랍",1591.29,"t","1"
"크렌베리",11612,"0552","블루베리",317150,"t","1"
"기타콩",11399,"0420","잠두(신선)",43669.42,"t","1"
"메밀",11108,"0089","메밀",85304.66,"t","1"
"우지",23111,"0949","버팔로 지방",0,"t","2"
"배추",12101,"0358","양배추",1029337,"t","1"
"멜론",12133,"0568","칸타루페 및 기타 멜론류",569871,"t","1"
"순무",12122,"0426","당근과 순무",1381461,"t","1"
"피마자",11512,"0265","피마자",0,"t","1"
"우지",23111,"0869","우지(기름을 빼지 않은 것)",768896.52,"t","2"
"꽃양배추",12103,"0393","꽃양배추와 브로콜리",926826,"t","1"
"기타곡물",11199,"0108","기타 곡물",0,"t","1"
"버찌",11608,"0531","체리",210190,"t","1"
"이집트콩",11322,"0191","이집트콩(건조)",165920,"t","1"
"고추",12161,"0689","고추와 파프리카(건조, 생것)",0,"t","1"
"파프리카",12138,"0401","고추(신선)",551251,"t","1"
"커피",15101,"0656","커피(신선)",2400,"t","1"
"비그나파세러스콩",11319,"0195","동부콩(건조)",6849,"t","1"
"크렌베리",11612,"0554","크랜베리",365500,"t","1"
"오이",12132,"0397","오이",595630,"t","1"
"커런트",11611,"0550","커런트",0,"t","1"
"대추야자",11621,"0577","대추야자",60010,"t","1"
"쇠고기",22101,"0948","버팔로 설육(신선, 냉장 또는 냉동)",0,"t","2"
"쇠고기",22101,"0868","소 설육(신선, 냉장 또는 냉동)",904584.14,"t","2"
"기타포유가축육",22199,"1018","염소 설육(신선, 냉장 또는 냉동)",1728.18,"t","2"
"돼지고기",22102,"1036","돼지 설육(신선, 냉장 또는 냉동)",811046.83,"t","2"
"기타포유가축육",22199,"0978","양 설육(신선, 냉장 또는 냉동)",3286.12,"t","2"
"기타포유가축육",22199,"1098","말 설육(신선, 냉장 또는 냉동)",2045.43,"t","2"
"가지",12135,"0399","가지",98585.26,"t","1"
"돼지고기",22102,"1037","돈지",3278699.94,"t","2"
"무화과",11622,"0569","무화과",27924.05,"t","1"
"사슴고기",22115,"1163","수렵육(신선 또는 냉장)",268519.44,"t","2"
"생강",12162,"0720","생강(생것)",663.79,"t","1"
"면양, 산양의 지방",23119,"1019","염소 지방",349.31,"t","2"
"포도",11651,"0560","포도",5372800,"t","1"
"기타채소",12179,"0446","풋옥수수",2595570,"t","1"
"마늘",12144,"0406","마늘(신선)",204797,"t","1"
"땅콩",11501,"0242","땅콩(껍데기를 벗긴 것 제외)",2525670,"t","1"
"헤즐너트",33302,"0225","헤이즐넛(껍데기를 벗기지 않은 것)",70310,"t","3"
"기타채유종실",11599,"0336","대마",1102,"t","1"
"조란",24201,"1062","닭의 란(껍질이 붙은것으로서 신선한 것)",6528357,"t","2"
"조란",24201,"1062","닭의 란(껍질이 붙은것으로서 신선한 것)",109514100,"1000 No","2"
"호프",11901,"0677","호프",45940,"t","1"
"말고기",22103,"1097","말고기(신선 또는 냉장)",18939.14,"t","2"
"키위",11614,"0592","키위",33110,"t","1"
"레몬",11644,"0497","레몬과 라임",938030,"t","1"
"렌즈콩",11323,"0201","렌즈콩(건조)",248980,"t","1"
"상치",12111,"0372","양상추와 치커리",3298933,"t","1"
"아마인",11503,"0333","아마인",109330,"t","1"
"옥수수",11105,"0056","옥수수",348750930,"t","1"
"과아버",11625,"0571","망고, 구아바 및 망고스틴",841.86,"t","1"
"쇠고기",22101,"0947","버팔로 고기(신선 또는 냉장)",0,"t","2"
"쇠고기",22101,"0867","쇠고기(뼈 있는 것으로 신선 또는 냉장)",12890324,"t","2"
"닭고기",22201,"1058","닭고기(신선 또는 냉장)",19599212,"t","2"
"오리고기",22202,"1069","오리고기(신선 또는 냉장)",62217,"t","2"
"산양고기",22106,"1017","염소고기(신선 또는 냉장)",8953.45,"t","2"
"돼지고기",22102,"1035","돼지고기(뼈 있는 것으로 신선 또는 냉장)",12251984,"t","2"
"면양고기",22105,"0977","양고기(신선 또는 냉장)",61779,"t","2"
"칠면조고기",22203,"1080","칠면조고기(신선 또는 냉장)",2368797,"t","2"
"밀리트",11106,"0079","밀리트",213260,"t","1"
"양송이",12301,"0449","버섯과 송로버섯",318600,"t","1"
"겨자씨",11514,"0292","겨자씨",45940,"t","1"
"꿀",23901,"1182","천연꿀",56849,"t","2"
"귀리",11109,"0075","귀리",836860,"t","1"
"기타채소",12179,"0430","오크라",10474.14,"t","1"
"올리브",12185,"0260","올리브",63230,"t","1"
"양파",12141,"0403","양파와 샬롯(건조)",2918958,"t","1"
"오렌지",11641,"0490","오렌지",3148840,"t","1"
"비그나파세러스콩",11319,"0414","기타콩(신선)",30409.27,"t","1"
"나무딸기",11610,"0558","기타 박시니엄속의 베리류와 과실",29401.04,"t","1"
"기타감귤류",11649,"0512","기타 감귤류",22195.58,"t","1"
"기타과실",11699,"0619","기타 과실",691.52,"t","1"
