Chapter Code,H.S.Code,HS 4-digit Code,HS 4-digit Description,HS 6-digit Code,HS 6-digit Description,Statistical Code,Full 9-digit Code,Description,Row Index
01,0101.21,0101,"Pure-bred breeding animals",010121,"Pure-bred breeding animals",100,010121100,"1 Certified as being those other than Thoroughbred, Thoroughbred-grade, Arab, Anglo-Arab or Arab-grade horses (hereinafter referred to as ""light-breed horses"") in accordance with the provisions of the Cabinet Order for Enforcement of the Customs Tariff Law (hereinafter referred to as ""Cabinet Order"")",6
01,0101.21,0101,"Pure-bred breeding animals",010121,"Pure-bred breeding animals",210,010121210,"(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order",8
01,0101.21,0101,"Pure-bred breeding animals",010121,"Pure-bred breeding animals",290,010121290,"(2) Other",9
01,0101.29,0101,"Other",010129,"Other",100,010129100,"1 Certified as being not ""light-breed horses"" in accordance with the provisions of a Cabinet Order",11
01,0101.29,0101,"Other",010129,"Other",210,010129210,"(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order",13
01,0101.29,0101,"Other",010129,"Other",290,010129290,"(2) Other",14
01,0101.30,0101,"Asses",010130,"Asses",000,010130000,"Asses",15
01,0101.90,0101,"Other",010190,"Other",000,010190000,"Other",16
01,0102.21,0102,"Pure-bred breeding animals",010221,"Pure-bred breeding animals",000,010221000,"Pure-bred breeding animals",19
01,0102.29,0102,"Other",010229,"Other",100,010229100,"1 Weighing not more than 300kg",21
01,0102.29,0102,"Other",010229,"Other",200,010229200,"2 Other",22
01,0102.31,0102,"Pure-bred breeding animals",010231,"Pure-bred breeding animals",000,010231000,"Pure-bred breeding animals",24
01,0102.39,0102,"Other",010239,"Other",000,010239000,"Other",25
01,0102.90,0102,"Other",010290,"Other",100,010290100,"1 Pure-bred breeding animals",27
01,0102.90,0102,"Other",010290,"Other",210,010290210,"(1) Weighing not more than 300kg",29
01,0102.90,0102,"Other",010290,"Other",290,010290290,"(2) Other",30
01,0103.10,0103,"Pure-bred breeding animals",010310,"Pure-bred breeding animals",000,010310000,"Pure-bred breeding animals",32
01,0103.91,0103,"Weighing less than 50 kg",010391,"Weighing less than 50 kg",000,010391000,"Weighing less than 50 kg",34
01,0103.92,0103,"Weighing 50 kg or more",010392,"Weighing 50 kg or more",011,010392011,"*�k1�lPer each, not more than the upper limit prices for the specific duty applied on live swine where the upper limit prices shall be obtained by subtracting Prices B from prices A, the same definition shall be applied in this heading
Prices A: standard import prices for live swine specified by the sub-paragraph 1 of paragraph 1 of the Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading
Prices B: the prices specified by *�k1�l in this sub-heading each corresponding to the period of importation provided by the Annex 1-3 to the Law",36
01,0103.92,0103,"Weighing 50 kg or more",010392,"Weighing 50 kg or more",012,010392012,"*�k2�lPer each, more than the upper limit prices for the specific duty applied on live swine, but not more than the gate prices where the gate prices shall be obtained by dividing Prices A by rates B plus 1,  the same definition shall be applied in this heading
Prices A: mentioned in *�k1�l
Rates B: the rates specified in this sub-heading *�k3�l according to the each divisions of each import terms provided in the Annex 1-3-2",37
01,0103.92,0103,"Weighing 50 kg or more",010392,"Weighing 50 kg or more",020,010392020,"*�k3�lPer each, more than the gate price of live swine, in value for customs duty",38
01,0104.10,0104,"Sheep",010410,"Sheep",000,010410000,"Sheep",40
01,0104.20,0104,"Goats",010420,"Goats",000,010420000,"Goats",41
01,0105.11,0105,"Fowls of the species Gallus domesticus",010511,"Fowls of the species Gallus domesticus",000,010511000,"Fowls of the species Gallus domesticus",44
01,0105.12,0105,"Turkeys",010512,"Turkeys",000,010512000,"Turkeys",45
01,0105.13,0105,"Ducks",010513,"Ducks",000,010513000,"Ducks",46
01,0105.14,0105,"Geese",010514,"Geese",000,010514000,"Geese",47
01,0105.15,0105,"Guinea fowls",010515,"Guinea fowls",000,010515000,"Guinea fowls",48
01,0105.94,0105,"Fowls of the species Gallus domesticus",010594,"Fowls of the species Gallus domesticus",000,010594000,"Fowls of the species Gallus domesticus",50
01,0105.99,0105,"Other",010599,"Other",000,010599000,"Other",51
01,0106.11,0106,"Primates",010611,"Primates",000,010611000,"Primates",54
01,0106.12,0106,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia);seals,sea lions and walruses(mammals of the suborder Pinnipedia)",010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia);seals,sea lions and walruses(mammals of the suborder Pinnipedia)",010,010612010,"- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",56
01,0106.12,0106,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia);seals,sea lions and walruses(mammals of the suborder Pinnipedia)",010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia);seals,sea lions and walruses(mammals of the suborder Pinnipedia)",090,010612090,"- Other",57
01,0106.13,0106,"Camels and other camelids (Camelidae)",010613,"Camels and other camelids (Camelidae)",000,010613000,"Camels and other camelids (Camelidae)",58
01,0106.14,0106,"Rabbits and hares",010614,"Rabbits and hares",000,010614000,"Rabbits and hares",59
01,0106.19,0106,"Other",010619,"Other",010,010619010,"- Carnivores",61
01,0106.19,0106,"Other",010619,"Other",090,010619090,"- Other",62
01,0106.20,0106,"Reptiles (including snakes and turtles)",010620,"Reptiles (including snakes and turtles)",010,010620010,"- Turtles and tortoises",64
01,0106.20,0106,"Reptiles (including snakes and turtles)",010620,"Reptiles (including snakes and turtles)",020,010620020,"- Crocodiles and alligators",65
01,0106.20,0106,"Reptiles (including snakes and turtles)",010620,"Reptiles (including snakes and turtles)",031,010620031,"-- Lizards",67
01,0106.20,0106,"Reptiles (including snakes and turtles)",010620,"Reptiles (including snakes and turtles)",039,010620039,"-- Other",68
01,0106.20,0106,"Reptiles (including snakes and turtles)",010620,"Reptiles (including snakes and turtles)",090,010620090,"- Other",69
01,0106.31,0106,"Birds of prey",010631,"Birds of prey",000,010631000,"Birds of prey",71
01,0106.32,0106,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",000,010632000,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",72
01,0106.33,0106,"Ostriches; emus (Dromaius novaehollandiae)",010633,"Ostriches; emus (Dromaius novaehollandiae)",000,010633000,"Ostriches; emus (Dromaius novaehollandiae)",73
01,0106.39,0106,"Other",010639,"Other",000,010639000,"Other",74
01,0106.41,0106,"Bees",010641,"Bees",000,010641000,"Bees",76
01,0106.49,0106,"Other",010649,"Other",000,010649000,"Other",77
01,0106.90,0106,"Other",010690,"Other",011,010690011,"-- Anura",80
01,0106.90,0106,"Other",010690,"Other",012,010690012,"-- Caudata",81
01,0106.90,0106,"Other",010690,"Other",019,010690019,"-- Other",82
01,0106.90,0106,"Other",010690,"Other",090,010690090,"- Other",83
02,0201.10,0201,"Carcasses and half-carcasses",020110,"Carcasses and half-carcasses",000,020110000,"Carcasses and half-carcasses",4
02,0201.20,0201,"Other cuts with bone in",020120,"Other cuts with bone in",000,020120000,"Other cuts with bone in",5
02,0201.30,0201,"Boneless",020130,"Boneless",010,020130010,"- Loin",7
02,0201.30,0201,"Boneless",020130,"Boneless",020,020130020,"- Chuck, Clod and Round",8
02,0201.30,0201,"Boneless",020130,"Boneless",030,020130030,"- Brisket and plate",9
02,0201.30,0201,"Boneless",020130,"Boneless",090,020130090,"- Other",10
02,0202.10,0202,"Carcasses and half-carcasses",020210,"Carcasses and half-carcasses",000,020210000,"Carcasses and half-carcasses",12
02,0202.20,0202,"Other cuts with bone in",020220,"Other cuts with bone in",000,020220000,"Other cuts with bone in",13
02,0202.30,0202,"Boneless",020230,"Boneless",010,020230010,"- Loin",15
02,0202.30,0202,"Boneless",020230,"Boneless",020,020230020,"- Chuck, Clod and Round",16
02,0202.30,0202,"Boneless",020230,"Boneless",030,020230030,"- Brisket and plate",17
02,0202.30,0202,"Boneless",020230,"Boneless",090,020230090,"- Other",18
02,0203.11,0203,"Carcasses and half-carcasses",020311,"Carcasses and half-carcasses",010,020311010,"1 Of wild boars",22
